"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,PGK-NOSLGS50,"Pilgrim Sunscreen - SPF 50+ PA++++ 5% Niacinamide Hydra Glow Gel Sunscreen, In-Vivo Tested | Non Sticky Lightweight",LSTSNRH89DJTAWYEBQU4DFHJF,SNRH89DJTAWYEBQU,Pilgrim,396.0,0,56,69,235,345,429,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.97686,5.98932,3.1943040000000003,0.034,"Smart/Flipkart, Seller",Yes
malur_bts,PGMU-SFCN1,Pilgrim Dream Matte Serum Foundation,LSTFNDGUTWQFQ6RQUXVMTV6OH,FNDGUTWQFQ6RQUXV,Pilgrim,472.0,0,3,23,77,119,168,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47597,5.290566,4.691634,0.214,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGKFMT-1,Pilgrim White Lotus Face Mist & Toner for Hydration & Pore Tightening Men & Women,LSTTNRFZQPKYFPAYS7AY1ZWM7,TNRFZQPKYFPAYS7A,Pilgrim,230.0,0,3,6,43,106,114,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.873477999999999,5.290566,3.7932360000000003,0.073,"Smart/Flipkart, Seller",Yes
malur_bts,PGMU-SFGB1,Pilgrim Dream Matte Serum Lightweight Foundation Non-cakey with All-Day Coverage Foundation,LSTFNDGUTWQZW5QCH9MZAZYXM,FNDGUTWQZW5QCH9M,Pilgrim,472.0,0,0,3,77,133,217,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.877038,4.691634,6.787896,0.117,"Smart/Flipkart, Seller",Yes
jai_san_wh_nl_01nl,PGKDC1,Pilgrim Cream SPF 50,LSTFRNFZRRS9W9SJEDF4FO20O,FRNFZRRS9W9SJEDF,Pilgrim,350.0,0,5,6,18,26,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.784336,8.98398,7.786116,0.321,Smart/Flipkart,Yes
jai_san_wh_nl_01nl,PGKS-AAS1,Pilgrim Salicylic Acid 1% + Glycolic Acid 3% Anti Acne Serum | Resurfaces & Retexturizes Skin| Reduces Excess Oil | Dermatologically Tested | All Skin Type | For Men & Women | Vegan,LSTFRNG4886DPGZMM7PNYTQ47,FRNG4886DPGZMM7P,Pilgrim,520.0,0,1,8,14,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.281666000000001,7.187184,4.49199,0.099,Smart/Flipkart,Yes
malur_bts,PGMU-GLTK1,Pilgrim Glitter Lipstick Luxurious 3-D Glitter Formula With Matte Finish,LSTLSKH6XGSZGMAPEZMBZX2T9,LSKH6XGSZGMAPEZM,Pilgrim,580.0,0,2,4,55,75,93,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.882378,4.392168,2.5953720000000002,0.016,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,PGMU-GLJJ1,Pilgrim Glitter Lipstick Luxurious 3-D Glitter Formula With Matte Finish,LSTLSKH6XGRNGXGVEWFMU2JL1,LSKH6XGRNGXGVEWF,Pilgrim,580.0,0,25,25,25,42,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9822,4.392168,2.5953720000000002,0.016,"Smart/Flipkart, Seller",Yes
hyderabad_medchal_01,PGK-AHBHPS60,Pilgrim 25% AHA + 2% BHA + 5% PHA Peeling Solution Face Serum for Exfoliation|Detan,LSTKMTHDWPHYES4WZZFA5BAH8,KMTHDWPHYES4WZZF,Pilgrim,850.0,0,1,4,7,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.376148,5.590032,5.090922000000001,0.152,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,PGKS-RAHHM1,Pilgrim Redensyl & Anagain Hair Fall Control Hair Mask Promotes Hair Re-Growth,LSTHTTHYYYXKKBFQHUM5NVXBG,HTTHYYYXKKBFQHUM,Pilgrim,403.0,0,4,6,6,38,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49021,7.786116,7.686294,0.213,"Smart/Flipkart, Seller",Yes
malur_bts,PGKS - RAAHGS1,Pilgrim Advanced Hair Growth Serum With Rosemary & Korean Black Rice For Men & Women,LSTHSMHY65YAADTXFVGS3ZPHB,HSMHY65YAADTXFVG,Pilgrim,1330.0,0,0,1,1,66,106,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.372588,5.390388,4.49199,0.089,Seller,Yes
bhi_vas_wh_nl_01nl,PGMU-CPCN1,Pilgrim Natural Matte Compact,LSTCMPGVYFFWYVBXGYYGNFYP6,CMPGVYFFWYVBXGYY,Pilgrim,436.0,0,1,4,47,54,54,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.385048000000001,8.584692,3.294126,0.073,Seller,Yes
hyderabad_medchal_01,PGSL-SRHGO1,Pilgrim Spanish Rosemary & Biotin Hair Oil For Strengthening & Hair Growth Hair Oil,LSTHOLGSQN4MZ9ZH62UB2FP2D,HOLGSQN4MZ9ZH62U,Pilgrim,255.0,0,1,25,102,211,316,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.873477999999999,7.786116,4.192524000000001,0.118,Smart/Flipkart,Yes
cbe_oth_01,PGSL-RWB200,Pilgrim Korean Black Rice and Rosemary Water Spray For All Hair Types Hair Spray,LSTHSYHHNN2HJBTTCAZKONS7X,HSYHHNN2HJBTTCAZ,Pilgrim,242.0,0,1,1,1,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.563332000000003,4.49199,4.49199,0.214,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,PGMU-CPGB1,Pilgrim Natural Matte Compact,LSTCMPGVYFFUFCXGWGEE7YNSA,CMPGVYFFUFCXGWGE,Pilgrim,339.0,0,14,25,25,29,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9822,8.98398,4.092702,0.053,"Smart/Flipkart, Seller",Yes
